2024-03-04 17:27:39,191 - INFO - Iniciou Leitura da serial
2024-03-04 17:27:39,200 - INFO - Iniciado file processor
2024-03-04 17:27:39,224 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:40,238 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:41,250 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:42,262 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:43,274 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:44,286 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:45,310 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:46,332 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:47,343 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:48,356 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:49,367 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:50,379 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:51,391 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:52,402 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:53,414 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:54,425 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:55,437 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:56,450 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:57,467 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:58,478 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:27:59,490 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:00,502 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:01,515 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:02,526 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:03,551 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:04,574 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:05,596 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:06,608 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:07,619 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:08,631 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:09,653 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:10,675 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:11,697 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:12,719 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:13,741 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:14,765 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:15,787 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:16,809 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:17,831 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:18,850 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:19,872 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:20,894 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:21,916 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:22,938 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:23,962 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:24,984 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:26,006 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:27,028 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:28,049 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:29,072 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:30,094 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:31,116 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:32,139 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:33,160 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:34,182 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:35,204 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:36,227 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:37,250 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:38,271 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:39,290 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:40,312 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:41,334 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:42,358 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:43,380 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:44,401 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:45,423 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:46,446 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:47,468 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:48,490 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:49,513 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:50,535 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:51,555 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:52,577 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:53,599 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:54,622 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:55,644 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:56,666 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:57,688 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:58,710 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:28:59,732 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:00,755 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:01,777 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:02,799 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:03,823 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:04,846 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:05,869 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:06,892 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:07,914 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:08,937 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:09,959 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:10,982 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:12,004 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:13,027 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:14,050 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:15,073 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:16,096 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:17,119 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:18,141 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:19,163 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:20,184 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:21,206 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:22,228 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:23,252 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:24,274 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:25,296 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:26,318 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:27,340 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:28,361 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:29,383 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:30,405 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:31,427 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:32,450 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:33,471 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:29:34,494 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
